Map name,Tier,Type,Stages/Cps,Bonuses
surf_nebula,2,Linear,4,3
surf_network_2009,2,Linear,4,0
surf_noble,2,Staged,5,1
surf_not_so_disaster,2,Linear,4,5
surf_not_so_sinister_ksf,2,Staged,5,3
surf_nova,2,Linear,4,3
surf_ny_momentum_v3_1,2,Linear,3,0
surf_ny_platinum,2,Staged,6,1
surf_ny_superhappiest_b3,2,Staged,4,0
surf_odyssey,2,Linear,4,0
surf_orthodox,2,Staged,16,4
surf_palais,2,Linear,4,0
surf_palm,2,Linear,4,2
surf_papertown,2,Linear,3,5
surf_pathfinder,2,Linear,5,0
surf_premium,2,Staged,8,2
surf_presmon_fix,2,Staged,6,0
surf_progress_fix,2,Staged-Linear,5,0
surf_psycho,2,Staged,6,2
surf_quirky,2,Linear,3,9
surf_ravine,2,Linear,4,0
surf_reprise,2,Linear,4,2
surf_rez,2,Staged,6,2
surf_rocco_v2,2,Linear,3,3
surf_rookie,2,Staged,18,0
surf_sanctuary,2,Staged,5,3
surf_sandtrap,2,Linear,3,3
surf_sandtrap2,2,Linear,4,4
surf_saturday,2,Linear,4,2
surf_seaworld_fix,2,Linear,3,0
surf_semesterbreak,2,Linear,3,2
surf_simpsons_source,2,Staged,10,4
surf_skipalot,2,Linear,4,4
surf_slob,2,Staged,7,1
surf_spacejam,2,Staged,6,1
surf_spooky,2,Linear,3,0
surf_squirrelsonvacation,2,Linear,4,1
surf_stonks,2,Staged,2,2
surf_summer_ksf,2,Staged,11,1
surf_sunnyhappylove,2,Staged,4,0
surf_syria,2,Staged,8,0
surf_tensile_njv,2,Linear,5,0
surf_the_gloaming,2,Linear,4,0
surf_tomb_redone,2,Linear,4,0
surf_tranquil,2,Linear,4,3
surf_tuscany,2,Staged,8,4
surf_twilight_njv,2,Linear,5,2
surf_verge,2,Linear,3,0
surf_waterworks,2,Linear,4,0
surf_wood,2,Linear,4,1
surf_zbig_ksf,2,Staged,7,2
surf_zealand,2,Linear,4,2
surf_zenith,2,Linear,4,1
surf_1day,3,Staged,11,1
surf_2012_beta12,3,Staged,6,1
surf_a,3,Staged,5,0
surf_abstinens,3,Staged,5,0
surf_acp_fix,3,Staged,9,0
surf_adtr_njv,3,Staged,4,1
surf_amateur_v2b,3,Staged,6,1
surf_amplitude_apex,3,Staged,3,0
surf_animals_ksf,3,Staged,11,1
surf_anthropomorphic,3,Staged,10,1
surf_arghmyeyes_retexture,3,Linear,5,0
surf_asrown,3,Staged-Linear,2,1
surf_ataque_final,3,Staged,6,0
surf_auroria_ksf,3,Staged,6,1
surf_awakening,3,Staged,4,1
surf_b_r_o_x_x_x,3,Staged,5,0
surf_banger,3,Staged,11,1
surf_bbb,3,Staged,6,2
surf_be_gentle,3,Staged,4,2
surf_blackout,3,Linear,6,0
surf_bluewinter,3,Linear,4,1
surf_bnw_njv,3,Linear,5,1
surf_bob,3,Staged,11,1
surf_bork_nbv,3,Staged,7,1
surf_bumpybusride,3,Staged,3,1
surf_calamity_njv,3,Staged,5,0
surf_canisius,3,Staged,5,0
surf_canisius2_fix,3,Staged,5,0
surf_cartoon,3,Staged,5,1
surf_christmas,3,Staged,9,2
surf_christmas2,3,Staged,9,1
surf_christmas3,3,Staged,8,1
surf_collection_njv,3,Staged,8,0
surf_color_fix,3,Staged,6,1
surf_commune_again_beta5,3,Staged,7,0
surf_compact,3,Staged,5,0
surf_compulsive_njv,3,Staged,4,0
surf_concept,3,Staged,7,0
surf_cookiejar,3,Linear,4,0
surf_coralis_ksf,3,Linear,4,2
surf_cosmo,3,Linear,4,2
surf_creation,3,Staged,5,1
surf_crystal,3,Staged,6,2
surf_cubic_ksf,3,Staged,28,0
surf_cyka_ksf,3,Staged,4,2
surf_deceptive_final,3,Staged,5,1
surf_depressing,3,Staged,12,0
surf_depths,3,Linear,6,1
surf_destiny_fixed,3,Linear,4,0
surf_deteriorate,3,Linear,3,0
surf_dhyana,3,Staged,5,2
surf_diminsion,3,Linear,4,2
surf_distraction_v2,3,Staged,5,1
surf_diverge,3,Staged,5,1
surf_dusk,3,Staged,6,1
surf_dynasty,3,Linear,3,1
surf_ecosystem,3,Linear,5,0
surf_elixor,3,Staged,9,0
surf_ember,3,Staged,5,0
surf_entropy_finalv2,3,Staged,5,0
surf_epic,3,Staged,7,1
surf_eunoia,3,Linear,4,3
surf_executioner,3,Linear,5,2
surf_exogenesis,3,Linear,3,1
surf_extremex,3,Staged,8,0
surf_exurbia2,3,Linear,5,1
surf_exxak,3,Staged,5,0
surf_ezclap,3,Staged,5,1
surf_fantasy,3,Staged,4,0
surf_fast,3,Staged,4,3
surf_fiellu_ksf,3,Linear,4,4
surf_flatliners,3,Linear,4,1
surf_fractal,3,Staged,5,2
surf_frequency_njv,3,Linear,5,2
surf_frey2_ksf,3,Linear,3,2
surf_friday,3,Staged,6,1
surf_froots_ksf,3,Staged,18,8
surf_fruits,3,Staged,10,1
surf_fruits2,3,Staged,16,1
surf_furios,3,Staged,6,0
surf_globalchaos,3,Staged,3,1
surf_golden_refix,3,Linear,7,3
surf_happyhands2,3,Linear,3,4
surf_happyhands3,3,Linear,4,3
surf_happyhands4,3,Linear,6,2
surf_happyhands5,3,Linear,5,2
surf_healthy,3,Staged,10,1
surf_helium_fix,3,Staged,6,0
surf_hellenic,3,Linear,3,1
surf_hob,3,Linear,4,2
surf_huh,3,Linear,3,6
surf_iceworld,3,Linear,4,1
surf_imagine_fix,3,Staged,7,0
surf_impact,3,Staged,6,0
surf_industries,3,Linear,5,0
surf_inner,3,Linear,6,0
surf_inrage,3,Linear,3,0
surf_insideout_final,3,Linear,4,0
surf_jaqen2,3,Linear,5,3
surf_jenocide,3,Staged,5,1
surf_kaaba,3,Staged,4,1
surf_kawaii,3,Staged,4,0
