Map name,Tier,Type,Stages/Cps,Bonuses
surf_skill8_h,5,Linear,4,0
surf_smol,5,Staged,5,5
surf_stitched,5,Staged,2,2
surf_stonework3,5,Staged,7,0
surf_strike,5,Staged,6,1
surf_technique,5,Staged,7,5
surf_the_distance,5,Linear,9,3
surf_timewarp,5,Staged,5,0
surf_transient,5,Staged,9,1
surf_trapped,5,Staged,6,2
surf_treefort,5,Staged,8,0
surf_tronic_njv,5,Linear,4,2
surf_tycho_fix,5,Staged,4,4
surf_unreal2,5,Staged,3,2
surf_z,5,Staged,5,1
surf_666,6,Staged,6,6
surf_amaro,6,Linear,5,1
surf_autonomy,6,Staged,4,1
surf_bugs,6,Staged,4,6
surf_chungus_fungus,6,Staged,14,6
surf_crimson,6,Linear,5,3
surf_crush2,6,Linear,5,1
surf_diet_mountain_dew,6,Linear,3,2
surf_disaster,6,Linear,5,2
surf_embrace,6,Linear,6,6
surf_epiphany,6,Staged,3,4
surf_exile,6,Staged,5,0
surf_feudal,6,Staged,5,0
surf_garden_h,6,Staged,10,3
surf_gloomy,6,Staged,6,4
surf_hades,6,Staged,7,2
surf_hades2,6,Staged,6,5
surf_innokia,6,Staged,5,4
surf_jumble,6,Staged,2,4
surf_jusched_beta1,6,Linear,5,0
surf_kultur,6,Staged,6,6
surf_looksmodern,6,Staged,5,0
surf_lt_omnific,6,Staged-Linear,18,3
surf_map_h,6,Linear,5,0
surf_marah,6,Linear,5,0
surf_north,6,Staged,5,4
surf_offskill,6,Staged,4,1
surf_perihelion,6,Linear,5,4
surf_replicant,6,Staged,4,1
surf_royal_fix,6,Staged,5,0
surf_sinister_evil,6,Staged,5,2
surf_sinister2,6,Staged,5,2
surf_sinsane_ksf,6,Linear,4,1
surf_solace,6,Staged,5,3
surf_spectra,6,Linear,7,2
surf_stonework4,6,Staged,7,0
surf_syria_again,6,Staged,8,0
surf_thesteve,6,Staged,5,3
surf_treespam,6,Staged,5,0
surf_valpect,6,Linear,5,2
surf_vast,6,Staged,5,1
surf_whynot,6,Staged,4,2
surf_whynot2,6,Linear,6,2
surf_zen,6,Staged,4,3
surf_devil,7,Staged,4,1
surf_exonic,7,Linear,6,3
surf_gigapede,7,Linear,7,6
surf_goliath,7,Staged,4,4
surf_hardline,7,Staged,5,4
surf_not_so_prosurf,7,Staged,10,7
surf_not_so_zen,7,Linear,6,6
surf_original,7,Linear,8,1
surf_pls,7,Linear,9,10
surf_prosurf,7,Staged,5,5
surf_raphaello,7,Linear,5,2
surf_shade,7,Linear,3,7
surf_shibboleth,7,Staged,5,10
surf_shodan,7,Linear,5,10
surf_sinsane2,7,Linear,5,4
surf_tensor2,7,Staged,8,6
surf_zen2,7,Staged,4,5
surf_anubis_ksf,8,Staged,3,9
surf_corruption,8,Linear,8,6
surf_deity_ksf,8,Staged,5,0
